[2022-02-19 14:57:02] 0:0:0:0:0:0:0:1 "GET /history/getHistories HTTP/1.1" 200 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 14:58:36] 0:0:0:0:0:0:0:1 "GET /history/getHistories HTTP/1.1" 200 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 14:59:03] 0:0:0:0:0:0:0:1 "GET /history/getHistories HTTP/1.1" 200 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 15:01:16] 0:0:0:0:0:0:0:1 "GET /history/getHistories HTTP/1.1" 200 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 15:04:59] 0:0:0:0:0:0:0:1 "GET /history/getHistories HTTP/1.1" 200 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 15:05:04] 0:0:0:0:0:0:0:1 "POST /history/setHistory HTTP/1.1" 403 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 15:06:44] 0:0:0:0:0:0:0:1 "POST /history/setHistory HTTP/1.1" 403 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 15:07:07] 0:0:0:0:0:0:0:1 "POST /history/setHistory HTTP/1.1" 500 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 15:07:34] 0:0:0:0:0:0:0:1 "POST /history/setHistory HTTP/1.1" 500 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 15:11:58] 0:0:0:0:0:0:0:1 "GET /settings/history HTTP/1.1" 200 	 [-] 	 [Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36]
[2022-02-19 15:11:58] 0:0:0:0:0:0:0:1 "GET /css/commonView.css HTTP/1.1" 200 	 [http://localhost:8080/settings/history] 	 [Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36]
[2022-02-19 15:12:14] 0:0:0:0:0:0:0:1 "POST /history/setHistory HTTP/1.1" 500 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 15:13:19] 0:0:0:0:0:0:0:1 "POST /history/setHistory HTTP/1.1" 500 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 15:18:22] 0:0:0:0:0:0:0:1 "POST /history/setHistory HTTP/1.1" 500 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 15:20:11] 0:0:0:0:0:0:0:1 "POST /history/setHistory HTTP/1.1" 500 	 [-] 	 [PostmanRuntime/7.29.0]
[2022-02-19 15:21:27] 0:0:0:0:0:0:0:1 "POST /history/setHistory HTTP/1.1" 200 	 [-] 	 [PostmanRuntime/7.29.0]
